"observationDay","team","county","practiceFacilityCounty","stadiumCounty","positives","population"
2020-02-21,"ARI","Maricopa",TRUE,TRUE,0,4485414
2020-02-22,"ARI","Maricopa",TRUE,TRUE,0,4485414
2020-02-23,"ARI","Maricopa",TRUE,TRUE,0,4485414
2020-02-24,"ARI","Maricopa",TRUE,TRUE,0,4485414
2020-02-25,"ARI","Maricopa",TRUE,TRUE,0,4485414
2020-02-26,"ARI","Maricopa",TRUE,TRUE,0,4485414
2020-02-27,"ARI","Maricopa",TRUE,TRUE,0,4485414
2020-02-28,"ARI","Maricopa",TRUE,TRUE,0,4485414
2020-02-29,"ARI","Maricopa",TRUE,TRUE,0,4485414
2020-03-01,"ARI","Maricopa",TRUE,TRUE,0,4485414
2020-03-02,"ARI","Maricopa",TRUE,TRUE,0,4485414
2020-03-03,"ARI","Maricopa",TRUE,TRUE,1,4485414
2020-03-04,"ARI","Maricopa",TRUE,TRUE,0,4485414
2020-03-05,"ARI","Maricopa",TRUE,TRUE,0,4485414
2020-03-06,"ARI","Maricopa",TRUE,TRUE,0,4485414
2020-03-07,"ARI","Maricopa",TRUE,TRUE,0,4485414
2020-03-08,"ARI","Maricopa",TRUE,TRUE,0,4485414
2020-03-09,"ARI","Maricopa",TRUE,TRUE,0,4485414
2020-03-10,"ARI","Maricopa",TRUE,TRUE,0,4485414
2020-03-11,"ARI","Maricopa",TRUE,TRUE,1,4485414
2020-03-12,"ARI","Maricopa",TRUE,TRUE,0,4485414
2020-03-13,"ARI","Maricopa",TRUE,TRUE,0,4485414
2020-03-14,"ARI","Maricopa",TRUE,TRUE,1,4485414
2020-03-15,"ARI","Maricopa",TRUE,TRUE,0,4485414
2020-03-16,"ARI","Maricopa",TRUE,TRUE,4,4485414
2020-03-17,"ARI","Maricopa",TRUE,TRUE,1,4485414
2020-03-18,"ARI","Maricopa",TRUE,TRUE,2,4485414
2020-03-19,"ARI","Maricopa",TRUE,TRUE,11,4485414
2020-03-20,"ARI","Maricopa",TRUE,TRUE,12,4485414
2020-03-21,"ARI","Maricopa",TRUE,TRUE,15,4485414
2020-03-22,"ARI","Maricopa",TRUE,TRUE,32,4485414
2020-03-23,"ARI","Maricopa",TRUE,TRUE,58,4485414
2020-03-24,"ARI","Maricopa",TRUE,TRUE,60,4485414
2020-03-25,"ARI","Maricopa",TRUE,TRUE,52,4485414
2020-03-26,"ARI","Maricopa",TRUE,TRUE,48,4485414
2020-03-27,"ARI","Maricopa",TRUE,TRUE,100,4485414
2020-03-28,"ARI","Maricopa",TRUE,TRUE,55,4485414
2020-03-29,"ARI","Maricopa",TRUE,TRUE,92,4485414
2020-03-30,"ARI","Maricopa",TRUE,TRUE,144,4485414
2020-03-31,"ARI","Maricopa",TRUE,TRUE,101,4485414
2020-04-01,"ARI","Maricopa",TRUE,TRUE,80,4485414
2020-04-02,"ARI","Maricopa",TRUE,TRUE,90,4485414
2020-04-03,"ARI","Maricopa",TRUE,TRUE,88,4485414
2020-04-04,"ARI","Maricopa",TRUE,TRUE,122,4485414
2020-04-05,"ARI","Maricopa",TRUE,TRUE,155,4485414
2020-04-06,"ARI","Maricopa",TRUE,TRUE,107,4485414
2020-04-07,"ARI","Maricopa",TRUE,TRUE,62,4485414
2020-04-08,"ARI","Maricopa",TRUE,TRUE,64,4485414
2020-04-09,"ARI","Maricopa",TRUE,TRUE,130,4485414
2020-04-10,"ARI","Maricopa",TRUE,TRUE,52,4485414
2020-04-11,"ARI","Maricopa",TRUE,TRUE,150,4485414
2020-04-12,"ARI","Maricopa",TRUE,TRUE,69,4485414
2020-04-13,"ARI","Maricopa",TRUE,TRUE,60,4485414
2020-04-14,"ARI","Maricopa",TRUE,TRUE,36,4485414
2020-04-15,"ARI","Maricopa",TRUE,TRUE,90,4485414
2020-04-16,"ARI","Maricopa",TRUE,TRUE,118,4485414
2020-04-17,"ARI","Maricopa",TRUE,TRUE,140,4485414
2020-04-18,"ARI","Maricopa",TRUE,TRUE,87,4485414
2020-04-19,"ARI","Maricopa",TRUE,TRUE,98,4485414
2020-04-20,"ARI","Maricopa",TRUE,TRUE,47,4485414
2020-04-21,"ARI","Maricopa",TRUE,TRUE,102,4485414
2020-04-22,"ARI","Maricopa",TRUE,TRUE,108,4485414
2020-04-23,"ARI","Maricopa",TRUE,TRUE,124,4485414
2020-04-24,"ARI","Maricopa",TRUE,TRUE,146,4485414
2020-04-25,"ARI","Maricopa",TRUE,TRUE,118,4485414
2020-04-26,"ARI","Maricopa",TRUE,TRUE,125,4485414
2020-04-27,"ARI","Maricopa",TRUE,TRUE,98,4485414
2020-04-28,"ARI","Maricopa",TRUE,TRUE,121,4485414
2020-04-29,"ARI","Maricopa",TRUE,TRUE,145,4485414
2020-04-30,"ARI","Maricopa",TRUE,TRUE,249,4485414
2020-05-01,"ARI","Maricopa",TRUE,TRUE,184,4485414
2020-05-02,"ARI","Maricopa",TRUE,TRUE,265,4485414
2020-05-03,"ARI","Maricopa",TRUE,TRUE,164,4485414
2020-05-04,"ARI","Maricopa",TRUE,TRUE,166,4485414
2020-05-05,"ARI","Maricopa",TRUE,TRUE,178,4485414
